,Edu2.FM,Labo.FM,Life.Exp,Edu.Exp,GNI,Mat.Mor,Ado.Birth,Parli.F
Norway,1.007238883,0.890829694,81.6,17.5,"64,992",4,7.8,39.6
Australia,0.996828753,0.818941504,82.4,20.2,"42,261",6,12.1,30.5
Switzerland,0.983436853,0.825100134,83,15.8,"56,431",6,1.9,28.5
Denmark,0.988612836,0.884036145,80.2,18.7,"44,025",5,5.1,38
Netherlands,0.969060773,0.828611898,81.6,17.9,"45,435",6,6.2,36.9
Germany,0.992783505,0.807228916,80.9,16.5,"43,919",7,3.8,36.9
Ireland,1.024173028,0.779735683,80.9,18.6,"39,568",9,8.2,19.9
United States,1.003164557,0.81712627,79.1,16.5,"52,947",28,31,19.4
Canada,1,0.867605634,82,15.9,"42,155",11,14.5,28.2
New Zealand,0.996852046,0.840108401,81.8,19.2,"32,689",8,25.3,31.4
Singapore,0.914814815,0.761658031,83,15.4,"76,628",6,6,25.3
Sweden,0.990836197,0.888070692,82.2,15.8,"45,636",4,6.5,43.6
United Kingdom,0.998998999,0.81077147,80.7,16.2,"39,267",8,25.8,23.5
Iceland,0.993449782,0.910852713,82.6,19,"35,182",4,11.5,41.3
Korea (Republic of),0.864197531,0.694868239,81.9,16.9,"33,890",27,2.2,16.3
Israel,0.966781214,0.837916064,82.4,16,"30,676",2,7.8,22.5
Luxembourg,1,0.784829721,81.7,13.9,"58,711",11,8.3,28.3
Japan,1.013986014,0.693181818,83.5,15.3,"36,927",6,5.4,11.6
Belgium,0.934861279,0.801011804,80.8,16.3,"41,187",6,6.7,42.4
France,0.9375,0.823051948,82.2,16,"38,056",12,5.7,25.7
Austria,1,0.806499261,81.4,15.7,"43,869",4,4.1,30.3
Finland,1,0.8703125,80.8,17.1,"38,695",4,9.2,42.5
Slovenia,0.97755102,0.827531646,80.4,16.8,"27,852",7,0.6,27.7
Spain,0.913816689,0.79787234,82.6,17.3,"32,045",4,10.6,38
Italy,0.88447205,0.665546218,83.1,16,"33,030",4,4,30.1
Czech Republic,1.002006018,0.748169839,78.6,16.4,"26,660",5,4.9,18.9
Greece,0.888059701,0.7072,80.9,17.6,"24,524",5,11.9,21
Estonia,1,0.815674891,76.8,16.5,"25,214",11,16.8,19.8
Cyprus,0.930232558,0.787623066,80.2,14,"28,633",10,5.5,12.5
Qatar,1.130508475,0.531937173,78.2,13.8,"123,124",6,9.5,0
Slovakia,0.995979899,0.744897959,76.3,15.1,"25,845",7,15.9,18.7
Poland,0.928654971,0.753466872,77.4,15.5,"23,177",3,12.2,22.1
Lithuania,0.94485684,0.829123328,73.3,16.4,"24,500",11,10.6,23.4
Malta,0.877237852,0.571644042,80.6,14.4,"27,930",9,18.2,13
Saudi Arabia,0.86059744,0.25798212,74.3,16.3,"52,821",16,10.2,19.9
Argentina,0.977430556,0.633333333,76.3,17.9,"22,050",69,54.4,36.8
United Arab Emirates,1.194444444,0.505434783,77,13.3,"60,868",8,27.6,17.5
Chile,0.959424084,0.657754011,81.7,15.2,"21,290",22,55.3,15.8
Portugal,0.989626556,0.829305136,80.9,16.3,"25,757",8,12.6,31.3
Hungary,0.99189463,0.746666667,75.2,15.4,"22,916",14,12.1,10.1
Bahrain,1.10311284,0.451093211,76.6,14.4,"38,599",22,13.8,15
Latvia,0.998989899,0.812130178,74.2,15.2,"22,281",13,13.5,18
Croatia,0.908119658,0.765410959,77.3,14.8,"19,409",13,12.7,25.8
Kuwait,0.987566607,0.524669073,74.4,14.7,"83,961",14,14.5,1.5
Montenegro,0.889123548,0.7504363,76.2,15.2,"14,558",7,15.2,17.3
Belarus,0.943600868,0.793977813,71.3,15.7,"16,676",1,20.6,30.1
Russian Federation,0.968648649,0.79637378,70.1,14.7,"22,352",24,25.7,14.5
Oman,0.826619965,0.351089588,76.8,13.6,"34,858",11,10.6,9.6
Romania,0.935869565,0.750385208,74.7,14.2,"18,108",33,31,12
Uruguay,1.081510934,0.723958333,77.2,15.5,"19,283",14,58.3,11.5
Bahamas,1.04109589,0.873896595,75.4,12.6,"21,336",37,28.5,16.7
Kazakhstan,0.964574899,0.869062901,69.4,15,"20,867",26,29.9,20.1
Barbados,1.020524515,0.860313316,75.6,15.4,"12,488",52,48.4,19.6
Bulgaria,0.971786834,0.811864407,74.2,14.4,"15,596",5,35.9,20.4
Panama,1.082164329,0.599022005,77.6,13.3,"18,192",85,78.5,19.3
