,gender,age,attitude,deep,stra,surf,points,,
1,F,53,3.7,3.583333333,3.375,2.583333333,25,22.71686747,11.35843373
2,M,55,3.1,2.916666667,2.75,3.166666667,12,,
3,F,49,2.5,3.5,3.625,2.25,24,,
4,M,53,3.5,3.5,3.125,2.25,10,,
5,M,49,3.7,3.666666667,3.625,2.833333333,22,,
6,F,38,3.8,4.75,3.625,2.416666667,21,,
7,M,50,3.5,3.833333333,2.25,1.916666667,21,,
8,F,37,2.9,3.25,4,2.833333333,31,,
9,M,37,3.8,4.333333333,4.25,2.166666667,24,,
10,F,42,2.1,4,3.5,3,26,,
11,M,37,3.9,3.583333333,3.625,2.666666667,31,,
12,F,34,3.8,3.833333333,4.75,2.416666667,31,,
13,F,34,2.4,4.25,3.625,2.25,23,,
14,F,34,3,3.333333333,3.5,2.75,25,,
15,M,35,2.6,4.166666667,1.75,2.333333333,21,,
17,F,33,4.1,3.666666667,3.875,2.333333333,31,,
18,F,32,2.6,4.083333333,1.375,2.916666667,20,,
19,F,44,2.6,3.5,3.25,2.5,22,,
20,M,29,1.7,4.083333333,3,3.75,9,,
21,F,30,2.7,4,3.75,2.75,24,,
22,M,27,3.9,3.916666667,2.625,2.333333333,28,,
23,M,29,3.4,4,2.375,2.416666667,30,,
24,F,31,2.7,4,3.625,3,24,,
25,F,37,2.3,3.666666667,2.75,2.416666667,9,,
26,F,26,3.7,3.666666667,1.75,2.833333333,26,,
27,F,26,4.4,4.416666667,3.25,3.166666667,32,,
28,M,30,4.1,3.916666667,4,3,32,,
30,F,33,3.7,3.75,3.625,2,33,,
31,F,33,2.5,3.25,2.875,3.5,29,,
32,M,28,3,3.583333333,3,3.75,30,,
33,M,26,3.4,4.916666667,1.625,2.5,19,,
34,F,27,3.2,3.583333333,3.25,2.083333333,23,,
35,F,25,2,2.916666667,3.5,2.416666667,19,,
36,F,31,2.4,3.666666667,3,2.583333333,12,,
37,M,20,4.2,4.5,3.25,1.583333333,10,,
38,F,39,1.6,4.083333333,1.875,2.833333333,11,,
39,M,38,3.1,3.833333333,4.375,1.833333333,20,,
40,M,24,3.8,3.25,3.625,2.416666667,26,,
41,M,26,3.8,2.333333333,2.5,3.25,31,,
42,M,25,3.3,3.333333333,1.25,3.416666667,20,,
43,F,30,1.7,4.083333333,4,3.416666667,23,,
44,F,25,2.5,2.916666667,3,3.166666667,12,,
45,M,30,3.2,3.333333333,2.5,3.5,24,,
46,F,48,3.5,3.833333333,4.875,2.666666667,17,,
47,F,24,3.2,3.666666667,5,2.416666667,29,,
48,F,40,4.2,4.666666667,4.375,3.583333333,23,,
49,M,25,3.1,3.75,3.25,2.083333333,28,,
50,F,23,3.9,3.416666667,4,3.75,31,,
51,F,25,1.9,4.166666667,3.125,2.916666667,23,,
52,F,23,2.1,2.916666667,2.5,2.916666667,25,,
53,M,27,2.5,4.166666667,3.125,2.416666667,18,,
54,M,25,3.2,3.583333333,3.25,3,19,,
55,M,23,3.2,2.833333333,2.125,3.416666667,22,,
56,F,23,2.6,4,2.75,2.916666667,25,,
57,F,23,2.3,2.916666667,2.375,3.25,21,,
58,F,45,3.8,3,3.125,3.25,9,,
59,F,22,2.8,4.083333333,4,2.333333333,28,,
60,F,23,3.3,2.916666667,4,3.25,25,,
61,M,21,4.8,3.5,2.25,2.5,29,,
62,M,21,4,4.333333333,3.25,1.75,33,,
63,F,21,4,4.25,3.625,2.25,33,,
64,F,21,4.7,3.416666667,3.625,2.083333333,25,,
65,F,26,2.3,3.083333333,2.5,2.833333333,18,,
66,F,25,3.1,4.583333333,1.875,2.833333333,22,,
67,F,26,2.7,3.416666667,2,2.416666667,17,,
68,M,21,4.1,3.416666667,1.875,2.25,25,,
70,F,23,3.4,3.416666667,4,2.833333333,28,,
71,F,22,2.5,3.583333333,2.875,2.25,22,,
72,F,22,2.1,1.583333333,3.875,1.833333333,26,,
73,F,22,1.4,3.333333333,2.5,2.916666667,11,,
74,F,23,1.9,4.333333333,2.75,2.916666667,29,,
75,M,22,3.7,4.416666667,4.5,2.083333333,22,,
77,M,23,3.2,4.833333333,3.375,2.333333333,21,,
78,M,24,2.8,3.083333333,2.625,2.416666667,28,,
79,F,22,4.1,3,4.125,2.75,33,,
80,F,23,2.5,4.083333333,2.625,3.25,16,,
